employee_id,department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met >80%,awards_won?,avg_training_score,is_promoted
56674,5,23,2,0,1,1,34,5.0,7,0,0,86,1
76103,7,3,2,1,1,1,37,4.0,10,1,0,92,1
36413,7,28,2,1,0,1,43,3.0,11,1,0,55,1
33516,7,2,1,0,0,2,37,4.0,9,1,0,51,1
60175,0,22,1,1,0,1,28,5.0,8,0,0,87,1
55226,5,2,2,0,1,1,38,5.0,7,1,0,72,1
45988,6,2,2,1,1,1,41,3.0,13,1,0,85,1
31379,5,8,2,0,0,1,32,2.0,9,0,0,88,1
20036,5,15,1,0,0,1,30,3.0,5,0,0,85,1
3854,5,16,2,0,0,1,35,3.0,9,1,0,70,1
63115,2,4,2,0,0,1,33,5.0,3,0,0,65,1
14085,7,16,1,1,1,1,22,,1,0,0,61,1
48898,5,2,1,0,0,1,34,3.0,6,0,0,83,1
40339,7,7,2,1,0,1,54,4.0,14,1,0,48,1
59931,7,2,2,1,0,1,35,5.0,8,1,0,48,1
67122,7,2,1,0,0,1,43,5.0,11,1,0,46,1
38825,4,22,1,0,0,1,27,5.0,4,0,0,77,1
68114,4,22,1,0,1,1,37,5.0,11,1,0,62,1
55909,7,1,2,1,0,1,39,3.0,3,1,0,45,1
33414,7,22,1,1,0,1,30,5.0,6,1,0,54,1
73386,5,15,2,1,0,1,39,2.0,4,1,1,74,1
6171,5,22,1,1,0,1,32,5.0,4,0,1,99,1
16087,4,21,1,1,0,1,34,3.0,6,1,0,55,1
21335,8,13,2,1,0,1,36,3.0,7,1,0,87,1
75235,7,29,1,1,0,1,35,3.0,10,1,0,50,1
31286,7,7,1,0,0,1,24,,1,1,0,47,1
30828,1,28,1,1,1,1,31,5.0,5,1,0,55,1
71187,5,22,2,0,1,1,33,5.0,7,1,0,68,1
21304,8,27,2,1,0,1,40,5.0,14,1,1,85,1
11653,0,27,1,1,1,1,29,4.0,1,1,0,81,1
17781,7,31,1,1,0,1,23,,1,1,0,47,1
68499,4,7,1,1,1,1,35,4.0,2,0,1,71,1
40472,8,13,2,0,0,1,32,4.0,7,1,0,97,1
78106,4,15,1,0,0,1,35,5.0,4,0,0,74,1
10607,0,8,1,1,1,1,27,5.0,5,1,0,87,1
25965,5,11,1,0,0,1,31,5.0,2,1,0,71,1
37204,5,7,1,1,0,1,32,5.0,7,1,0,70,1
4646,7,2,1,1,0,1,37,3.0,8,0,0,59,1
20343,7,2,2,1,1,1,37,3.0,7,0,0,59,1
5203,7,2,1,1,0,1,44,5.0,3,0,0,57,1
32127,7,22,1,1,1,1,26,5.0,5,1,0,93,1
5237,7,2,1,0,1,1,54,4.0,12,1,0,47,1
21817,4,2,1,0,0,1,30,4.0,6,1,1,59,1
40459,0,27,1,1,1,1,33,5.0,3,1,0,92,1
8986,5,13,1,1,0,1,40,3.0,4,1,0,67,1
62660,0,22,1,1,0,1,28,3.0,2,1,0,88,1
44905,5,19,1,1,1,1,38,5.0,3,1,0,70,1
41625,5,13,1,1,0,2,35,3.0,3,0,0,93,1
16013,8,10,1,0,0,1,29,4.0,4,1,0,82,1
54158,8,26,1,1,0,1,26,5.0,4,1,0,78,1
21595,0,22,1,1,1,1,29,4.0,4,1,0,80,1
63903,7,2,2,1,0,1,54,3.0,12,1,0,53,1
32567,4,2,2,1,0,1,38,5.0,6,0,0,79,1
52772,8,17,1,1,1,1,30,3.0,6,0,0,81,1
27709,0,2,1,1,1,1,33,3.0,4,1,0,82,1
1957,4,15,1,1,1,1,46,5.0,9,0,1,89,1
75759,4,4,1,0,1,1,39,3.0,5,1,0,58,1
63700,0,4,1,1,0,2,30,3.0,5,0,0,86,1
19986,8,7,2,0,1,1,42,5.0,12,1,0,77,1
40320,0,13,1,1,0,1,26,3.0,2,0,0,85,1
3602,8,33,1,1,0,1,34,3.0,3,1,1,75,1
20067,8,7,1,0,1,1,35,3.0,7,0,0,89,1
43470,7,2,1,1,0,1,59,3.0,4,1,0,51,1
44393,5,2,2,0,1,1,39,3.0,7,1,0,72,1
10214,5,17,1,1,0,1,41,5.0,7,1,1,72,1
43281,7,13,2,1,1,1,34,5.0,9,1,0,50,1
37831,0,7,2,1,0,1,42,3.0,5,1,0,82,1
19437,0,22,1,1,1,2,28,5.0,5,0,0,83,1
66936,4,22,1,1,0,2,55,5.0,18,0,0,71,1
6470,0,7,1,0,0,2,28,,1,1,0,85,1
45010,8,16,2,1,1,1,42,3.0,5,0,0,81,1
69680,7,14,1,1,0,2,23,3.0,2,1,0,51,1
19149,8,2,1,0,0,1,26,5.0,3,1,0,79,1
67702,4,22,1,1,1,3,29,4.0,4,1,0,56,1
68416,7,28,1,1,0,1,28,,1,0,0,67,1
51943,8,2,1,0,0,1,34,4.0,3,1,0,79,1
70364,7,22,1,1,0,1,27,3.0,2,1,1,96,1
47273,7,2,1,0,2,1,32,4.0,8,0,0,63,1
31632,7,4,1,1,1,1,30,2.0,4,0,0,60,1
1393,5,15,1,0,0,1,29,5.0,5,1,0,71,1
26885,7,16,1,1,0,1,41,5.0,3,1,0,48,1
27648,8,20,1,1,1,1,30,,1,1,0,84,1
78263,7,2,1,1,1,1,31,3.0,6,1,1,44,1
43927,5,26,1,1,1,1,30,1.0,4,0,0,85,1
4742,7,4,1,1,1,1,38,5.0,3,0,0,63,1
124,4,22,2,0,1,2,38,3.0,12,1,0,87,1
14003,4,2,2,0,2,1,35,5.0,8,1,0,60,1
48126,4,15,1,1,0,1,32,5.0,7,1,0,58,1
27835,7,7,1,1,0,1,25,3.0,3,1,0,48,1
53671,4,22,1,0,0,1,39,5.0,8,1,0,57,1
17681,7,7,1,1,0,1,30,4.0,5,1,0,65,1
67369,7,15,2,1,0,1,36,4.0,3,1,0,65,1
10220,4,4,1,1,1,1,36,3.0,12,0,0,70,1
23128,8,2,1,0,0,1,30,3.0,2,1,0,77,1
59941,6,22,2,1,1,1,28,,1,1,0,85,1
7972,0,32,1,1,1,1,30,5.0,4,1,0,82,1
29152,4,22,1,0,0,1,34,5.0,6,0,0,74,1
44443,4,16,2,1,0,1,44,4.0,16,1,0,89,1
33842,2,2,2,1,1,1,42,5.0,4,0,0,63,1
26413,0,20,1,1,0,2,28,2.0,2,0,0,87,1
4673,7,11,1,1,1,1,29,5.0,4,0,0,61,1
35084,7,25,1,1,1,1,33,5.0,7,1,0,44,1
70153,8,26,1,1,0,1,41,5.0,11,1,1,82,1
47585,1,2,1,1,0,1,41,4.0,6,1,0,62,1
3763,7,16,1,1,1,1,51,4.0,17,0,0,63,1
71293,2,7,2,1,0,1,39,5.0,6,1,1,47,1
57259,8,7,2,1,0,2,37,3.0,5,1,1,94,1
75223,4,22,1,0,1,1,38,4.0,9,0,0,72,1
55609,1,28,1,0,1,1,30,5.0,7,1,0,60,1
41161,4,22,1,1,0,1,40,5.0,3,1,1,60,1
75051,4,5,1,1,1,1,29,5.0,3,1,0,58,1
48528,5,2,2,0,1,1,46,3.0,13,1,0,69,1
39514,0,30,1,1,0,1,29,5.0,3,1,0,86,1
14132,0,2,1,1,0,2,41,2.0,13,1,0,82,1
74610,0,22,1,0,0,2,27,3.0,4,0,1,81,1
15025,5,6,1,1,0,3,27,4.0,3,1,0,68,1
1771,8,17,1,1,0,1,39,4.0,14,0,0,88,1
63774,7,2,1,0,0,1,31,4.0,5,1,0,49,1
15306,4,22,2,0,0,1,35,3.0,4,0,1,96,1
15643,8,7,1,0,1,1,30,3.0,4,0,0,89,1
17036,2,26,1,1,0,1,30,3.0,5,1,0,90,1
74447,4,22,2,1,0,1,31,5.0,4,1,0,57,1
3957,8,2,2,1,1,2,38,3.0,9,1,0,91,1
68376,7,13,1,1,1,1,29,,1,1,1,92,1
63806,4,22,1,0,1,1,48,5.0,3,1,0,63,1
11102,8,13,1,1,2,1,31,3.0,3,1,0,80,1
76873,7,28,2,0,1,1,34,4.0,7,0,0,64,1
17514,8,14,1,1,0,3,32,5.0,5,1,0,84,1
41750,5,7,1,0,1,1,32,5.0,7,1,0,73,1
67245,7,2,1,1,1,1,26,,1,1,1,90,1
51856,7,23,1,1,0,1,33,3.0,9,1,0,52,1
35368,4,27,1,0,1,1,43,3.0,10,1,0,62,1
66362,5,2,1,0,0,1,60,3.0,21,1,0,99,1
47800,8,2,2,1,1,2,46,5.0,6,1,0,78,1
14922,5,2,2,0,1,1,51,2.0,11,1,0,71,1
69542,7,19,1,1,0,1,32,,1,1,0,97,1
41821,4,23,2,0,0,1,32,5.0,6,1,0,64,1
42512,0,28,2,1,1,1,33,5.0,4,1,0,87,1
69913,0,22,1,1,0,1,28,3.0,4,0,0,88,1
75671,5,30,1,1,1,1,27,3.0,3,0,1,93,1
4856,7,7,1,1,1,1,39,3.0,10,1,0,53,1
47096,7,22,1,1,1,1,28,,1,1,0,94,1
73295,0,7,2,1,0,2,32,3.0,4,1,1,82,1
52286,7,28,2,0,0,1,34,5.0,6,1,1,99,1
14638,0,25,1,0,0,1,29,,1,0,0,84,1
18531,0,28,2,1,1,2,32,3.0,4,1,0,86,1
50166,4,16,2,1,1,1,44,4.0,11,1,0,97,1
9044,5,7,1,1,1,1,30,4.0,6,1,0,70,1
62422,2,2,2,0,1,1,52,3.0,23,1,0,50,1
44501,7,2,1,1,1,1,24,1.0,3,1,0,50,1
55924,8,7,2,1,1,1,32,5.0,9,1,0,71,1
17204,0,4,2,1,1,1,33,5.0,4,0,0,85,1
57593,8,23,2,1,0,1,34,1.0,2,1,0,86,1
31244,8,13,2,1,0,1,32,5.0,6,1,1,77,1
70964,4,22,1,1,2,1,32,4.0,4,1,0,58,1
3408,8,16,1,1,0,2,36,5.0,4,1,0,81,1
58792,8,13,2,1,1,1,38,3.0,4,1,1,78,1
272,8,7,1,0,1,1,29,5.0,2,1,0,82,1
32409,5,27,1,0,1,1,36,5.0,7,1,0,65,1
77713,7,5,1,1,1,1,34,5.0,6,1,1,93,1
59391,0,13,1,1,0,2,29,2.0,2,0,0,88,1
51618,0,22,1,1,2,1,28,4.0,5,1,0,86,1
23111,7,11,1,1,1,2,27,5.0,7,1,0,45,1
44714,8,22,2,1,1,1,47,5.0,19,1,0,72,1
21854,5,7,2,1,0,1,34,3.0,6,1,0,67,1
44972,8,2,2,1,0,1,44,5.0,6,1,0,77,1
60565,8,2,2,1,1,1,38,5.0,9,0,0,83,1
70674,8,22,1,1,0,4,26,4.0,3,1,0,99,1
70018,7,27,1,1,1,2,27,4.0,5,1,0,53,1
56560,2,20,1,1,0,1,31,3.0,6,1,0,48,1
73672,4,7,2,1,1,1,49,5.0,9,1,0,95,1
36914,4,4,1,1,1,1,35,3.0,9,1,0,59,1
77725,3,20,1,1,0,1,30,4.0,4,1,0,59,1
49833,7,16,2,1,0,1,33,4.0,4,0,0,61,1
65089,2,21,2,0,0,1,38,3.0,3,1,0,52,1
66530,8,13,1,0,1,2,29,4.0,6,0,0,84,1
43474,7,28,2,1,0,1,42,5.0,17,0,0,57,1
35165,8,10,1,1,0,1,27,3.0,5,1,0,81,1
45867,7,22,1,1,0,2,35,4.0,9,1,0,51,1
44037,8,1,2,1,1,1,33,5.0,7,1,0,74,1
4704,8,22,1,1,1,1,28,,1,1,0,78,1
56129,4,7,1,1,0,1,34,4.0,5,1,0,97,1
44828,8,13,2,1,1,1,36,5.0,10,0,0,92,1
8626,8,30,1,1,1,2,28,4.0,5,1,0,94,1
64334,4,4,2,1,0,1,58,5.0,18,0,0,72,1
28300,8,31,1,1,1,1,31,5.0,5,1,0,80,1
15773,7,2,1,0,1,1,25,,1,1,1,92,1
75076,5,8,1,1,1,1,30,5.0,5,1,0,72,1
26639,4,23,1,1,0,2,35,3.0,10,1,0,99,1
39547,5,19,1,1,0,1,32,,1,1,0,66,1
41047,8,31,2,0,1,2,31,5.0,3,1,0,80,1
72954,0,22,1,0,1,2,25,5.0,2,1,0,87,1
70572,7,2,1,1,1,1,26,5.0,2,1,0,52,1
23702,8,31,1,1,1,1,25,4.0,3,1,1,86,1
60773,0,10,1,1,1,1,28,5.0,3,1,0,86,1
17456,8,14,1,1,0,1,37,3.0,8,1,0,82,1
36233,7,7,1,1,1,1,25,3.0,2,0,1,68,1
20065,7,5,2,1,1,1,39,4.0,2,1,1,50,1
54432,7,2,1,0,0,1,32,4.0,7,1,0,60,1
13323,7,7,1,1,0,1,30,,1,1,0,49,1
33762,7,2,2,1,0,1,41,3.0,4,1,0,45,1
7176,7,2,1,1,1,1,36,3.0,7,1,0,46,1
29355,0,2,1,1,1,1,43,5.0,12,0,0,81,1
12910,4,22,2,0,0,1,40,4.0,9,1,0,93,1
63194,4,13,2,1,1,1,41,5.0,4,1,0,63,1
10182,4,27,2,0,0,1,46,3.0,15,0,0,72,1
38134,4,2,2,1,1,1,50,5.0,7,1,0,57,1
33302,5,7,2,0,1,2,32,3.0,5,1,0,71,1
17530,2,17,1,1,0,1,28,,1,1,0,49,1
22831,4,19,1,1,1,1,35,5.0,9,1,0,57,1
25877,5,22,2,1,0,1,31,5.0,5,1,0,67,1
11688,8,5,0,0,1,1,24,5.0,2,0,0,86,1
69300,7,4,1,1,1,1,29,,1,1,0,49,1
75320,0,22,1,0,1,2,28,5.0,5,1,0,89,1
11388,7,2,2,1,0,2,40,5.0,6,0,1,95,1
76005,7,2,1,1,0,1,38,4.0,3,1,1,51,1
8181,1,30,1,1,0,1,29,5.0,2,1,0,61,1
65496,8,22,1,1,2,1,26,1.0,2,1,0,84,1
9918,7,7,2,1,1,3,34,1.0,5,0,0,61,1
63535,8,22,1,1,0,2,31,3.0,6,1,1,78,1
58614,7,22,1,1,0,1,27,4.0,5,1,0,49,1
58061,4,8,1,1,1,1,32,3.0,7,1,0,56,1
45937,4,22,1,1,0,1,34,3.0,7,0,0,66,1
48414,1,4,2,0,0,1,35,3.0,11,1,0,98,1
41401,7,1,2,1,1,1,37,5.0,9,1,0,51,1
1783,1,30,1,1,0,1,26,5.0,2,1,1,90,1
46685,0,7,1,1,0,1,38,3.0,3,0,0,85,1
71567,7,2,1,1,0,1,31,4.0,4,1,0,62,1
48457,0,11,1,0,0,1,28,3.0,1,0,1,82,1
19541,5,17,1,0,1,1,36,3.0,4,0,1,77,1
35356,7,22,1,1,1,1,21,,1,1,0,52,1
30882,2,22,1,0,2,1,29,3.0,4,1,0,49,1
32766,7,28,2,1,0,1,35,2.0,3,1,0,46,1
14286,4,13,1,1,0,1,30,5.0,3,1,0,91,1
71467,8,26,0,1,0,1,25,,1,0,0,97,1
17510,5,15,2,0,1,1,48,5.0,9,1,0,72,1
55473,4,7,2,0,1,1,34,5.0,4,1,0,96,1
71021,1,2,1,1,0,2,33,5.0,5,0,0,68,1
50514,7,7,1,1,0,1,27,4.0,3,1,0,52,1
51052,7,13,2,1,1,1,32,4.0,4,1,0,51,1
32262,0,28,2,1,1,2,34,3.0,3,0,0,82,1
56060,1,2,1,1,0,1,32,1.0,4,1,0,65,1
57735,3,2,1,1,0,1,30,5.0,1,1,0,56,1
66923,0,25,1,1,0,2,28,5.0,3,0,0,88,1
56553,7,1,2,1,1,1,33,3.0,7,0,0,59,1
8340,8,20,1,1,1,1,28,4.0,4,0,1,90,1
44310,4,22,2,0,0,3,32,3.0,4,1,0,59,1
23257,7,1,2,0,1,1,33,5.0,5,0,0,60,1
6330,4,13,2,0,1,2,35,5.0,2,1,0,56,1
37372,7,2,2,1,0,1,43,4.0,13,0,0,62,1
32075,0,22,1,1,0,2,28,5.0,2,1,0,79,1
29821,7,27,1,1,0,1,35,3.0,3,0,0,58,1
75829,8,2,1,0,0,1,48,5.0,10,1,0,80,1
61715,3,2,2,1,1,1,60,5.0,12,1,0,63,1
30378,7,2,1,1,0,1,26,5.0,4,0,1,58,1
69254,7,7,2,1,0,1,38,5.0,7,1,0,48,1
6612,1,20,1,1,1,1,33,5.0,5,0,1,97,1
48378,4,2,1,1,1,1,40,5.0,11,1,0,60,1
71979,7,4,2,1,1,1,32,5.0,7,1,0,52,1
66971,0,13,2,1,0,1,44,5.0,7,0,0,81,1
39587,7,28,1,1,1,1,29,3.0,6,1,0,52,1
71338,7,7,1,1,0,1,44,3.0,6,1,0,51,1
65848,7,2,1,1,1,2,35,3.0,7,0,1,62,1
11830,2,2,1,1,1,1,35,4.0,10,1,0,49,1
32027,7,4,2,1,1,1,48,3.0,5,0,0,63,1
77210,8,23,2,0,0,1,42,3.0,12,1,0,79,1
13520,8,2,1,1,1,1,37,5.0,6,1,0,81,1
3335,0,11,1,1,0,3,29,3.0,4,1,0,92,1
29409,7,19,1,0,0,1,32,3.0,6,0,0,59,1
77315,4,15,1,1,1,3,35,3.0,12,0,0,76,1
69773,0,22,1,1,0,1,31,5.0,3,1,0,83,1
61885,7,15,1,1,1,1,39,3.0,6,0,1,65,1
76461,8,20,1,0,0,1,30,5.0,4,1,0,82,1
54847,7,23,2,1,1,1,40,5.0,5,1,1,96,1
68306,5,7,2,1,0,1,36,5.0,9,1,0,72,1
78139,7,2,2,1,1,1,50,5.0,10,1,0,54,1
47463,1,30,1,1,0,1,28,5.0,5,0,0,77,1
50371,5,23,2,1,0,1,36,3.0,4,1,0,69,1
71786,5,16,1,1,1,1,36,4.0,10,1,0,67,1
64676,8,27,1,1,1,1,28,5.0,4,0,0,91,1
44494,4,27,1,0,0,1,31,5.0,4,1,0,84,1
42793,7,2,1,1,0,1,21,3.0,2,0,1,64,1
38227,8,16,1,1,0,1,28,1.0,7,0,0,82,1
66349,8,17,2,0,0,1,35,1.0,3,1,1,98,1
75812,0,28,1,1,0,1,27,3.0,2,1,0,89,1
66176,4,22,1,1,1,3,34,3.0,5,1,0,63,1
23096,4,5,1,1,0,2,28,3.0,6,1,0,57,1
43952,7,2,2,1,0,1,36,3.0,3,0,0,59,1
76776,0,22,1,0,1,1,29,3.0,5,1,0,81,1
63255,0,25,1,1,0,1,29,5.0,3,1,1,92,1
20279,4,24,1,0,0,2,33,4.0,4,1,0,60,1
11026,4,2,1,0,1,1,60,3.0,3,0,0,71,1
42281,7,15,1,1,0,1,42,1.0,10,1,0,50,1
5347,7,7,1,1,1,1,29,5.0,3,1,0,52,1
20573,7,10,2,1,0,1,34,5.0,6,1,0,49,1
47792,7,15,1,1,0,1,27,,1,1,0,45,1
